isotope,protein_name,type
Y89Di,CD57,extracellular
HLA-DR tot,HLA_DR,extracellular
Pr141Di,CD38,extracellular
Nd142Di,CD69,extracellular
Nd144Di,CD2,extracellular
Nd145Di,LILRB1,extracellular
Sm147Di,CD8,extracellular
Eu151Di,CD62L,extracellular
Eu153Di,KIR2DS4,extracellular
Sm154Di,KIR2DS2,extracellular
Gd155Di,NKp46,extracellular
Gd156Di,NKG2D,extracellular
Gd157Di,TIGIT,extracellular
Gd158Di,X_2B4,extracellular
Tb159Di,DNAM_1,extracellular
Gd160Di,FAS_L,extracellular
Dy161Di,NKp30,extracellular
Dy162Di,Siglec_7,extracellular
Dy163Di,NKG2C,extracellular
Dy164Di,NKp44,extracellular
Ho165Di,TACTILE,extracellular
Er166Di,KIR2DL1,extracellular
Er167Di,CD94,extracellular
Er168Di,CXCR6,extracellular
Tm169Di,PD1,extracellular
Er170Di,KIR2DL5,extracellular
Yb171Di,NKG2A,extracellular
Yb172Di,NTB_A,extracellular
Yb173Di,KIR3DL1,extracellular
Yb174Di,CD56,extracellular
Lu175Di,KIR2DL3,extracellular
Bi209Di,CD16,extracellular
Nd148Di,FcRg,intracellular
Nd150Di,Syk,intracellular
Sm152Di,Ki_67,intracellular
Yb176Di,Perforin,intracellular
